Year,Month,Day,Period,COPPER_SHEET
2018,6,1,1,46670.05999999999
2018,6,1,2,44025.270000000004
2018,6,1,3,42130.49
2018,6,1,4,40925.74999999999
2018,6,1,5,40481.579999999994
2018,6,1,6,41331.88999999999
2018,6,1,7,42938.61
2018,6,1,8,44197.62
2018,6,1,9,46589.26
2018,6,1,10,49684.32
2018,6,1,11,53257.51
2018,6,1,12,56755.58
2018,6,1,13,59875.0
2018,6,1,14,63275.01
2018,6,1,15,65854.21
2018,6,1,16,67335.29000000001
2018,6,1,17,67886.6
2018,6,1,18,67568.17
2018,6,1,19,65921.29000000001
2018,6,1,20,63303.27999999999
2018,6,1,21,60654.58
2018,6,1,22,58346.27
2018,6,1,23,55188.60999999999
2018,6,1,24,51234.850000000006
2018,6,2,1,47399.37
2018,6,2,2,44820.5
2018,6,2,3,42863.94
2018,6,2,4,41462.36
2018,6,2,5,40546.73
2018,6,2,6,40333.71
2018,6,2,7,40350.76000000001
2018,6,2,8,41451.270000000004
2018,6,2,9,44457.11
2018,6,2,10,48266.56000000001
2018,6,2,11,52350.810000000005
2018,6,2,12,56192.109999999986
2018,6,2,13,59469.26
2018,6,2,14,62304.28
2018,6,2,15,64556.06
2018,6,2,16,66113.57
2018,6,2,17,66947.01
2018,6,2,18,66918.52
2018,6,2,19,65667.18000000001
2018,6,2,20,63372.48
2018,6,2,21,61427.81999999999
2018,6,2,22,58563.85
2018,6,2,23,55208.4
2018,6,2,24,51475.18000000001
2018,6,3,1,48006.02
2018,6,3,2,45035.329999999994
2018,6,3,3,42722.33
2018,6,3,4,40879.939999999995
2018,6,3,5,39563.17999999999
2018,6,3,6,38785.61000000001
2018,6,3,7,38155.36
2018,6,3,8,38420.14
2018,6,3,9,40805.71
2018,6,3,10,44130.43999999999
2018,6,3,11,47784.09
2018,6,3,12,51301.70999999999
2018,6,3,13,54664.43
2018,6,3,14,57592.62
2018,6,3,15,60047.909999999996
2018,6,3,16,62030.85
2018,6,3,17,63133.06
2018,6,3,18,63345.0
2018,6,3,19,62262.11
2018,6,3,20,60149.369999999995
2018,6,3,21,57971.21
2018,6,3,22,55284.21
2018,6,3,23,50865.62
2018,6,3,24,46358.549999999996
2018,6,4,1,42367.78
2018,6,4,2,39447.97
2018,6,4,3,37684.33000000001
2018,6,4,4,36610.63
2018,6,4,5,36385.61
2018,6,4,6,37470.759999999995
2018,6,4,7,39298.09
2018,6,4,8,40611.43
2018,6,4,9,42164.74999999999
2018,6,4,10,44321.78
2018,6,4,11,46947.74
2018,6,4,12,49179.95999999999
2018,6,4,13,51166.54
2018,6,4,14,53553.76999999999
2018,6,4,15,55418.189999999995
2018,6,4,16,56844.8
2018,6,4,17,57908.619999999995
2018,6,4,18,58442.17999999999
2018,6,4,19,57973.82
2018,6,4,20,56599.600000000006
2018,6,4,21,54840.31999999999
2018,6,4,22,53205.87999999999
2018,6,4,23,49567.97
2018,6,4,24,45443.03
2018,6,5,1,42073.08
2018,6,5,2,39696.270000000004
2018,6,5,3,38039.45
2018,6,5,4,37080.78999999999
2018,6,5,5,36926.219999999994
2018,6,5,6,38112.26999999999
2018,6,5,7,39966.13000000001
2018,6,5,8,41355.19
2018,6,5,9,43688.90999999999
2018,6,5,10,46678.61
2018,6,5,11,50401.8
2018,6,5,12,54242.28
2018,6,5,13,57780.7
2018,6,5,14,61394.62
2018,6,5,15,64180.47999999999
2018,6,5,16,66017.08
2018,6,5,17,67271.73999999999
2018,6,5,18,67328.11
2018,6,5,19,66331.14
2018,6,5,20,64018.41999999999
2018,6,5,21,61543.28999999999
2018,6,5,22,59289.740000000005
2018,6,5,23,55207.71000000001
2018,6,5,24,50608.719999999994
2018,6,6,1,46645.700000000004
2018,6,6,2,43702.18
2018,6,6,3,41458.95
2018,6,6,4,40154.909999999996
2018,6,6,5,39819.37
2018,6,6,6,40764.13999999999
2018,6,6,7,42323.619999999995
2018,6,6,8,43706.740000000005
2018,6,6,9,46024.590000000004
2018,6,6,10,49383.649999999994
2018,6,6,11,53364.130000000005
2018,6,6,12,57181.530000000006
2018,6,6,13,60535.83
2018,6,6,14,63611.689999999995
2018,6,6,15,66096.87000000001
2018,6,6,16,67569.91
2018,6,6,17,67884.55
2018,6,6,18,67562.92000000001
2018,6,6,19,66154.3
2018,6,6,20,63958.07
2018,6,6,21,61584.53999999999
2018,6,6,22,59331.399999999994
2018,6,6,23,55187.44999999999
2018,6,6,24,50753.57
2018,6,7,1,46831.9
2018,6,7,2,43830.67999999999
2018,6,7,3,41693.89000000001
2018,6,7,4,40353.130000000005
2018,6,7,5,39862.01
2018,6,7,6,40741.3
2018,6,7,7,42225.21000000001
2018,6,7,8,43775.520000000004
2018,6,7,9,46360.74
2018,6,7,10,49733.22
2018,6,7,11,53489.92
2018,6,7,12,56823.759999999995
2018,6,7,13,59746.659999999996
2018,6,7,14,62556.35999999999
2018,6,7,15,64675.780000000006
2018,6,7,16,65915.47
2018,6,7,17,66063.29
2018,6,7,18,64529.299999999996
2018,6,7,19,61877.979999999996
2018,6,7,20,59289.07
2018,6,7,21,57008.43
2018,6,7,22,54940.17999999999
2018,6,7,23,51193.369999999995
2018,6,7,24,47061.09
